### HY Dickens run | model=hy-mt1.5-7b host=http://localhost:1234 | workers=4 | pending atoms=2685
cache warm with 978 blocks
[1/2685] ok Authors/Dickens/Atomized/David_Copperfield/Chapter_43_ANOTHER_RETROSPECT/part_02.md | blocks 21 | 0m | 57 blk/min | 1 links to repair
[622/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_34/part_04.md | blocks 13333 | 479m | 28 blk/min | 5 links to repair
[623/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_34/part_03.md | blocks 13364 | 480m | 28 blk/min | 7 links to repair
[624/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_34/part_05.md | blocks 13392 | 480m | 28 blk/min | 6 links to repair
[625/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_34/part_06.md | blocks 13412 | 480m | 28 blk/min | 8 links to repair
[626/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_35/part_04.md | blocks 13444 | 482m | 28 blk/min | 11 links to repair
[627/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_35/part_02.md | blocks 13474 | 482m | 28 blk/min | 16 links to repair
[628/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_35/part_01.md | blocks 13489 | 482m | 28 blk/min | 15 links to repair
[629/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_35/part_06.md | blocks 13500 | 483m | 28 blk/min | 4 links to repair
[630/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_35/part_03.md | blocks 13519 | 483m | 28 blk/min | 18 links to repair
[631/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_35/part_05.md | blocks 13545 | 486m | 28 blk/min | 15 links to repair
[632/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_36/part_01.md | blocks 13561 | 488m | 28 blk/min | 22 links to repair
[633/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_36/part_02.md | blocks 13571 | 488m | 28 blk/min | 14 links to repair
[634/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_36/part_03.md | blocks 13597 | 488m | 28 blk/min | 11 links to repair
[635/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_36/part_06.md | blocks 13609 | 489m | 28 blk/min | 3 links to repair
[636/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_36/part_04.md | blocks 13631 | 492m | 28 blk/min | 16 links to repair
[637/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_37/part_01.md | blocks 13658 | 492m | 28 blk/min | 13 links to repair
[638/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_36/part_05.md | blocks 13667 | 493m | 28 blk/min | 22 links to repair
[639/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_37/part_05.md | blocks 13693 | 496m | 28 blk/min | 12 links to repair
[640/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_37/part_02.md | blocks 13719 | 496m | 28 blk/min | 18 links to repair
[641/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_37/part_03.md | blocks 13744 | 496m | 28 blk/min | 13 links to repair
[642/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_37/part_04.md | blocks 13768 | 497m | 28 blk/min | 12 links to repair
[643/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_37/part_06.md | blocks 13787 | 498m | 28 blk/min | 8 links to repair
[644/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_38/part_01.md | blocks 13813 | 499m | 28 blk/min | 10 links to repair
[645/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_37/part_07.md | blocks 13836 | 499m | 28 blk/min | 10 links to repair
[646/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_38/part_04.md | blocks 13860 | 500m | 28 blk/min | 12 links to repair
[647/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_38/part_02.md | blocks 13878 | 501m | 28 blk/min | 13 links to repair
[648/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_39/part_01.md | blocks 13889 | 501m | 28 blk/min | 7 links to repair
[649/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_38/part_03.md | blocks 13919 | 501m | 28 blk/min | 5 links to repair
[650/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_39/part_02.md | blocks 13939 | 502m | 28 blk/min | 8 links to repair
[651/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_39/part_03.md | blocks 13957 | 503m | 28 blk/min | 13 links to repair
[652/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_39/part_05.md | blocks 13973 | 504m | 28 blk/min | 13 links to repair
[653/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_39/part_06.md | blocks 13995 | 505m | 28 blk/min | 7 links to repair
[654/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_39/part_04.md | blocks 14012 | 505m | 28 blk/min | 14 links to repair
[655/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_40/part_02.md | blocks 14034 | 507m | 28 blk/min | 13 links to repair
[656/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_40/part_04.md | blocks 14070 | 507m | 28 blk/min | 5 links to repair
[657/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_40/part_01.md | blocks 14081 | 507m | 28 blk/min | 11 links to repair
[658/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_40/part_03.md | blocks 14117 | 507m | 28 blk/min | 7 links to repair
[659/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_40/part_05.md | blocks 14123 | 509m | 28 blk/min | 8 links to repair
[660/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_41/part_02.md | blocks 14156 | 510m | 28 blk/min | 11 links to repair
[661/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_41/part_01.md | blocks 14187 | 511m | 28 blk/min | 9 links to repair
[662/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_42/part_01.md | blocks 14212 | 511m | 28 blk/min | 21 links to repair
[663/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_41/part_03.md | blocks 14242 | 512m | 28 blk/min | 20 links to repair
[664/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_42/part_02.md | blocks 14279 | 512m | 28 blk/min | 8 links to repair
[665/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_42/part_03.md | blocks 14306 | 513m | 28 blk/min | 5 links to repair
[666/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_43/part_02.md | blocks 14330 | 514m | 28 blk/min | 8 links to repair
[667/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_43/part_01.md | blocks 14354 | 515m | 28 blk/min | 7 links to repair
[668/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_43/part_04.md | blocks 14374 | 515m | 28 blk/min | 20 links to repair
[669/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_43/part_03.md | blocks 14395 | 516m | 28 blk/min | 8 links to repair
[670/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_43/part_06.md | blocks 14426 | 517m | 28 blk/min | 9 links to repair
[671/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_43/part_05.md | blocks 14450 | 517m | 28 blk/min | 9 links to repair
[672/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_44/part_01.md | blocks 14485 | 518m | 28 blk/min | 15 links to repair
[673/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_44/part_03.md | blocks 14503 | 518m | 28 blk/min | 6 links to repair
[674/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_45/part_01.md | blocks 14525 | 521m | 28 blk/min | 9 links to repair
[675/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_44/part_02.md | blocks 14538 | 521m | 28 blk/min | 15 links to repair
[676/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_45/part_02.md | blocks 14554 | 521m | 28 blk/min | 12 links to repair
[677/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_45/part_03.md | blocks 14582 | 521m | 28 blk/min | 7 links to repair
[678/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_45/part_05.md | blocks 14605 | 523m | 28 blk/min | 7 links to repair
[679/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_45/part_04.md | blocks 14629 | 523m | 28 blk/min | 4 links to repair
[680/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_46/part_02.md | blocks 14656 | 524m | 28 blk/min | 13 links to repair
[681/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_46/part_01.md | blocks 14682 | 524m | 28 blk/min | 19 links to repair
[682/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_47/part_01.md | blocks 14699 | 525m | 28 blk/min | 3 links to repair
[683/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_46/part_03.md | blocks 14743 | 526m | 28 blk/min | 12 links to repair
[684/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_47/part_02.md | blocks 14771 | 526m | 28 blk/min | 10 links to repair
[685/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_47/part_03.md | blocks 14803 | 526m | 28 blk/min | 7 links to repair
[686/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_47/part_04.md | blocks 14829 | 527m | 28 blk/min | 4 links to repair
[687/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_47/part_05.md | blocks 14878 | 528m | 28 blk/min | 9 links to repair
[688/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_48/part_01.md | blocks 14911 | 529m | 28 blk/min | 8 links to repair
[689/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_48/part_02.md | blocks 14946 | 530m | 28 blk/min | 7 links to repair
[690/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_48/part_03.md | blocks 14970 | 530m | 28 blk/min | 11 links to repair
[691/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_48/part_04.md | blocks 14995 | 531m | 28 blk/min | 10 links to repair
[692/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_48/part_06.md | blocks 15005 | 531m | 28 blk/min | 14 links to repair
[693/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_49/part_01.md | blocks 15028 | 532m | 28 blk/min | 3 links to repair
[694/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_48/part_05.md | blocks 15051 | 532m | 28 blk/min | 46 links to repair
[695/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_49/part_02.md | blocks 15076 | 533m | 28 blk/min | 5 links to repair
[696/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_49/part_03.md | blocks 15102 | 533m | 28 blk/min | 4 links to repair
[697/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_49/part_04.md | blocks 15125 | 534m | 28 blk/min | 9 links to repair
[698/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_49/part_05.md | blocks 15155 | 535m | 28 blk/min | 12 links to repair
[699/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_50/part_01.md | blocks 15181 | 535m | 28 blk/min | 14 links to repair
[700/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_50/part_03.md | blocks 15208 | 536m | 28 blk/min | 9 links to repair
[701/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_50/part_02.md | blocks 15224 | 537m | 28 blk/min | 17 links to repair
[702/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_50/part_04.md | blocks 15240 | 537m | 28 blk/min | 6 links to repair
[703/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_51/part_01.md | blocks 15272 | 538m | 28 blk/min | 8 links to repair
[704/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_51/part_02.md | blocks 15299 | 540m | 28 blk/min | 9 links to repair
[705/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_51/part_04.md | blocks 15324 | 540m | 28 blk/min | 17 links to repair
[706/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_52/part_01.md | blocks 15347 | 541m | 28 blk/min | 3 links to repair
[707/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_51/part_03.md | blocks 15374 | 541m | 28 blk/min | 16 links to repair
[708/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_52/part_02.md | blocks 15409 | 541m | 28 blk/min | 9 links to repair
[709/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_52/part_04.md | blocks 15441 | 542m | 28 blk/min | 6 links to repair
[710/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_52/part_03.md | blocks 15464 | 543m | 28 blk/min | 12 links to repair
[711/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_53/part_02.md | blocks 15492 | 544m | 28 blk/min | 10 links to repair
[712/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_53/part_01.md | blocks 15508 | 545m | 28 blk/min | 16 links to repair
[713/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_53/part_03.md | blocks 15533 | 545m | 28 blk/min | 8 links to repair
[714/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_53/part_04.md | blocks 15585 | 545m | 29 blk/min | 10 links to repair
[715/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_54/part_01.md | blocks 15608 | 547m | 29 blk/min | 7 links to repair
[716/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_54/part_04.md | blocks 15629 | 547m | 29 blk/min | 16 links to repair
[717/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_54/part_03.md | blocks 15653 | 547m | 29 blk/min | 8 links to repair
[718/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_54/part_02.md | blocks 15673 | 548m | 29 blk/min | 17 links to repair
[719/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_54/part_05.md | blocks 15698 | 549m | 29 blk/min | 12 links to repair
[720/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_54/part_08.md | blocks 15722 | 550m | 29 blk/min | 5 links to repair
[721/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_54/part_06.md | blocks 15749 | 551m | 29 blk/min | 15 links to repair
[722/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_54/part_07.md | blocks 15763 | 552m | 29 blk/min | 20 links to repair
[723/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_55/part_01.md | blocks 15777 | 552m | 29 blk/min | 16 links to repair
REJECT Authors/Dickens/Atomized/Bleak_House/Chapter_55/part_03.md: invented wikilink targets: ['Spero']
[725/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_55/part_02.md | blocks 15797 | 553m | 29 blk/min | 11 links to repair
[726/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_55/part_05.md | blocks 15817 | 554m | 29 blk/min | 9 links to repair
[727/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_55/part_04.md | blocks 15849 | 555m | 29 blk/min | 11 links to repair
[728/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_55/part_06.md | blocks 15866 | 556m | 29 blk/min | 6 links to repair
[729/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_56/part_01.md | blocks 15885 | 556m | 29 blk/min | 8 links to repair
[730/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_56/part_02.md | blocks 15910 | 557m | 29 blk/min | 9 links to repair
[731/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_56/part_03.md | blocks 15929 | 558m | 29 blk/min | 10 links to repair
[732/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_57/part_01.md | blocks 15948 | 560m | 29 blk/min | 8 links to repair
[733/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_57/part_02.md | blocks 15968 | 560m | 29 blk/min | 9 links to repair
[734/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_57/part_03.md | blocks 15994 | 560m | 29 blk/min | 18 links to repair
[735/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_57/part_07.md | blocks 16017 | 562m | 29 blk/min | 4 links to repair
[736/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_57/part_04.md | blocks 16041 | 562m | 29 blk/min | 17 links to repair
[737/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_57/part_06.md | blocks 16054 | 563m | 29 blk/min | 14 links to repair
[738/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_57/part_05.md | blocks 16087 | 564m | 29 blk/min | 17 links to repair
[739/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_58/part_01.md | blocks 16100 | 566m | 28 blk/min | 16 links to repair
[740/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_58/part_03.md | blocks 16135 | 566m | 29 blk/min | 11 links to repair
[741/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_58/part_02.md | blocks 16159 | 566m | 29 blk/min | 10 links to repair
[742/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_58/part_04.md | blocks 16179 | 568m | 28 blk/min | 18 links to repair
[743/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_59/part_01.md | blocks 16201 | 568m | 29 blk/min | 7 links to repair
[744/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_59/part_02.md | blocks 16235 | 569m | 29 blk/min | 12 links to repair
[745/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_58/part_05.md | blocks 16261 | 570m | 29 blk/min | 10 links to repair
[746/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_59/part_05.md | blocks 16276 | 571m | 29 blk/min | 8 links to repair
[747/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_59/part_03.md | blocks 16301 | 571m | 29 blk/min | 10 links to repair
[748/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_59/part_04.md | blocks 16331 | 571m | 29 blk/min | 7 links to repair
[749/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_60/part_01.md | blocks 16367 | 573m | 29 blk/min | 14 links to repair
[750/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_60/part_03.md | blocks 16402 | 573m | 29 blk/min | 6 links to repair
[751/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_60/part_02.md | blocks 16431 | 573m | 29 blk/min | 13 links to repair
[752/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_60/part_04.md | blocks 16446 | 574m | 29 blk/min | 11 links to repair
[753/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_61/part_02.md | blocks 16466 | 576m | 29 blk/min | 14 links to repair
[754/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_60/part_05.md | blocks 16490 | 576m | 29 blk/min | 5 links to repair
[755/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_61/part_01.md | blocks 16517 | 576m | 29 blk/min | 6 links to repair
[756/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_62/part_02.md | blocks 16544 | 578m | 29 blk/min | 11 links to repair
[757/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_61/part_04.md | blocks 16572 | 578m | 29 blk/min | 13 links to repair
[758/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_61/part_03.md | blocks 16589 | 578m | 29 blk/min | 18 links to repair
[759/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_62/part_01.md | blocks 16624 | 579m | 29 blk/min | 10 links to repair
[760/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_63/part_02.md | blocks 16647 | 581m | 29 blk/min | 16 links to repair
[761/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_63/part_03.md | blocks 16667 | 581m | 29 blk/min | 8 links to repair
[762/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_63/part_01.md | blocks 16698 | 581m | 29 blk/min | 13 links to repair
[763/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_62/part_03.md | blocks 16737 | 581m | 29 blk/min | 7 links to repair
[764/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_64/part_04.md | blocks 16771 | 583m | 29 blk/min | 8 links to repair
[765/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_64/part_03.md | blocks 16792 | 583m | 29 blk/min | 12 links to repair
[766/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_64/part_01.md | blocks 16809 | 584m | 29 blk/min | 13 links to repair
[767/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_64/part_02.md | blocks 16832 | 585m | 29 blk/min | 19 links to repair
[768/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_65/part_03.md | blocks 16860 | 585m | 29 blk/min | 18 links to repair
[769/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_65/part_02.md | blocks 16885 | 586m | 29 blk/min | 6 links to repair
[770/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_01_Dombey_and_Son.md | blocks 16888 | 586m | 29 blk/min | 1 links to repair
[771/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_02_Pauls_Second_Deprivation.md | blocks 16891 | 586m | 29 blk/min
[772/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_03_In_which_the_Wooden_Midshipman.md | blocks 16894 | 586m | 29 blk/min
[773/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_04_Pauls_Introduction_to_a_New_Sc.md | blocks 16897 | 586m | 29 blk/min
[774/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_05_Shipping_Intelligence_and_Offi.md | blocks 16900 | 586m | 29 blk/min
[775/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_06_What_the_Waves_were_always_say.md | blocks 16903 | 586m | 29 blk/min
[776/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_07_Walter_goes_away.md | blocks 16906 | 586m | 29 blk/min
[777/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_08_A_Trifle_of_Management_by_Mr_C.md | blocks 16909 | 586m | 29 blk/min
[778/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_09_The_Study_of_a_Loving_Heart.md | blocks 16912 | 586m | 29 blk/min
[779/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_65/part_01.md | blocks 16936 | 586m | 29 blk/min | 8 links to repair
[780/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_11_Alterations.md | blocks 16939 | 586m | 29 blk/min
[781/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_10_Shadows_of_the_Past_and_Future.md | blocks 16942 | 586m | 29 blk/min
[782/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_12_The_interval_before_the_Marria.md | blocks 16945 | 587m | 29 blk/min
[783/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_13_The_Wooden_Midshipman_goes_to.md | blocks 16948 | 587m | 29 blk/min
[784/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_14_Another_Mother_and_Daughter.md | blocks 16951 | 587m | 29 blk/min
[785/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_15_Housewarming.md | blocks 16954 | 587m | 29 blk/min
[786/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_16_Miss_Tox_improves_an_Old_Acqua.md | blocks 16956 | 587m | 29 blk/min
[787/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_17_Domestic_Relations.md | blocks 16959 | 587m | 29 blk/min
[788/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_18_Confidential_and_Accidental.md | blocks 16961 | 587m | 29 blk/min
[789/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_19_A_Separation.md | blocks 16964 | 587m | 29 blk/min
[790/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_21_The_Flight_of_Florence.md | blocks 16967 | 587m | 29 blk/min
[791/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_20_Recognizant_and_Reflective.md | blocks 16969 | 587m | 29 blk/min
[792/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_23_Secret_Intelligence.md | blocks 16971 | 587m | 29 blk/min
[793/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_22_Mr_Tootss_Complaint.md | blocks 16974 | 587m | 29 blk/min
[794/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_24_The_Fugitives.md | blocks 16976 | 587m | 29 blk/min
[795/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_25_Several_People_delighted_and_t.md | blocks 16978 | 587m | 29 blk/min
[796/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_26_After_a_Lapse.md | blocks 16981 | 587m | 29 blk/min
[797/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_28_Final.md | blocks 16983 | 587m | 29 blk/min
[798/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_27_Chiefly_Matrimonial.md | blocks 16986 | 587m | 29 blk/min
[799/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_29/part_02.md | blocks 17019 | 590m | 29 blk/min | 10 links to repair
[800/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_67.md | blocks 17051 | 590m | 29 blk/min | 31 links to repair
[801/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_29/part_01.md | blocks 17067 | 591m | 29 blk/min | 11 links to repair
[802/2685] ok Authors/Dickens/Atomized/Bleak_House/Chapter_66.md | blocks 17082 | 591m | 29 blk/min | 32 links to repair
[803/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_29/part_03.md | blocks 17106 | 591m | 29 blk/min | 8 links to repair
[804/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_29/part_05.md | blocks 17124 | 592m | 29 blk/min | 2 links to repair
[805/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_29/part_04.md | blocks 17157 | 593m | 29 blk/min | 5 links to repair
[806/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_30/part_02.md | blocks 17189 | 593m | 29 blk/min | 22 links to repair
[807/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_30/part_03.md | blocks 17229 | 594m | 29 blk/min | 12 links to repair
[808/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_30/part_01.md | blocks 17259 | 594m | 29 blk/min | 12 links to repair
[809/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_30/part_05.md | blocks 17278 | 595m | 29 blk/min | 3 links to repair
[810/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_30/part_04.md | blocks 17301 | 596m | 29 blk/min | 10 links to repair
[811/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_31/part_02.md | blocks 17340 | 597m | 29 blk/min | 8 links to repair
REJECT Authors/Dickens/Atomized/Dombey_and_Son/Chapter_31/part_03.md: invented wikilink targets: [':dubito']
[813/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_31/part_04.md | blocks 17371 | 598m | 29 blk/min | 12 links to repair
[814/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_31/part_01.md | blocks 17379 | 598m | 29 blk/min | 21 links to repair
[815/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_31/part_05.md | blocks 17401 | 598m | 29 blk/min | 7 links to repair
[816/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_32/part_04.md | blocks 17429 | 601m | 29 blk/min | 9 links to repair
[817/2685] ok Authors/Dickens/Atomized/Dombey_and_Son/Chapter_32/part_02.md | blocks 17468 | 601m | 29 blk/min | 18 links to repair
